Time;PlayerName;P1;P2;P3;P4
0;MPIB2;0;0;0;0.0007233796
0;MPIB4;0;0;0;0
0;MPIB3;0.001977238;0.002459491;0;0
0;MPIB1;0;0;0;0
0.05;MPIB2;0;0;0;0.0007233796
0.05;MPIB4;0;0;0;0
0.05;MPIB3;0.001929012;0.001253858;0;0
0.05;MPIB1;0;0;0;0
0.1;MPIB2;0;0;0;0.0007233796
0.1;MPIB4;0;0;0;0
0.1;MPIB3;0.001929012;0.001253858;0;0
0.1;MPIB1;0;0;0;0
0.15;MPIB2;0;0;0;0.0005787037
0.15;MPIB4;0;0;0;0
0.15;MPIB3;0.001929012;0.001253858;0;0
0.15;MPIB1;0;0;0;0
0.2;MPIB2;0;0;0;0.0005787037
0.2;MPIB4;0;0;0;0
0.2;MPIB3;0.001929012;0.001253858;0;0
0.2;MPIB1;0;0;0;0
0.25;MPIB2;0;0;0;0.0005787037
0.25;MPIB4;0;0;0;0
0.25;MPIB3;0.001929012;0.001253858;0;0
0.25;MPIB1;0;0;0;0
0.3;MPIB2;0;0;0;0.0008680556
0.3;MPIB4;0;0;0;0
0.3;MPIB3;0.001929012;0.001398534;0;0
0.3;MPIB1;0;0;0;0
0.35;MPIB2;0;0;0;0.0007716049
0.35;MPIB4;0;0;0;0
0.35;MPIB3;0.001929012;0.001494985;0;0
0.35;MPIB1;0;0;0;0
0.4;MPIB2;0;0;0;0.0007233796
0.4;MPIB4;0;0;0;0
0.4;MPIB3;0.001929012;0.001494985;0;0
0.4;MPIB1;0;0;0;0
0.45;MPIB2;0;0;0;0.0009162808
0.45;MPIB4;0;0;0;0
0.45;MPIB3;0.001929012;0.001494985;0;0
0.45;MPIB1;0;0;0;0
0.5;MPIB2;0;0;0;0.0009162808
0.5;MPIB4;0;0;0;0
0.5;MPIB3;0.001929012;0.001494985;0;0
0.5;MPIB1;0;0;0;0
0.55;MPIB2;0;0;0;0.0009162808
0.55;MPIB4;0;0;0;0
0.55;MPIB3;0.001832562;0.001494985;0;0
0.55;MPIB1;0;0;0;0
0.6;MPIB2;0;0;0;0.0009162808
0.6;MPIB4;0;0;0;0
0.6;MPIB3;0.002025463;0.001494985;0;0
0.6;MPIB1;0;0;0;0
0.65;MPIB2;0;0;0;0.0009162808
0.65;MPIB4;0;0;0;0
0.65;MPIB3;0.001784336;0.00163966;0;0
0.65;MPIB1;0;0;0;0
0.7;MPIB2;0;0;0;0.0008680556
0.7;MPIB4;0;0;0;0
0.7;MPIB3;0.001784336;0.001929012;0;0
0.7;MPIB1;0;0;0;0
0.75;MPIB2;0;0;0;0.0009645062
0.75;MPIB4;0;0;0;0
0.75;MPIB3;0.00154321;0.00163966;0;0
0.75;MPIB1;0;0;0;0
0.8;MPIB2;0;0;0;0.0007716049
