"id";"separate";"env_type";"blocktype";"environment";"time_limit"
"1";"false";"SM";"pumpkin";"smooth.4";"120"
"2";"false";"RO";"melon";"random.9";"120"
"3";"false";"RO";"melon";"random.16";"120"
"4";"false";"SM";"pumpkin";"smooth.5";"120"
"5";"true";"SM";"pumpkin";"smooth.8";"120"
"6";"true";"RO";"melon";"random.12";"120"
"7";"true";"SM";"pumpkin";"smooth.2";"120"
"8";"true";"RO";"melon";"random.11";"120"
"9";"false";"RO";"melon";"random.15";"120"
"10";"false";"SM";"pumpkin";"smooth.15";"120"
"11";"false";"RO";"melon";"random.1";"120"
"12";"false";"SM";"pumpkin";"smooth.14";"120"
"13";"true";"RO";"melon";"random.7";"120"
"14";"true";"SM";"pumpkin";"smooth.13";"120"
"15";"true";"RO";"melon";"random.2";"120"
"16";"true";"SM";"pumpkin";"smooth.19";"120"
