"Time since round start";"Player Name";"X-Position";"Z-Position";"X-Look";"Y-Look";"Z-Look";"Visible Players";
0.0;MPIB1;45.5;24.5;-0.01005749125033617;-0.27142199873924255;0.9623818397521973;[];
0.0;MPIB2;13.5;16.5;0.01804598979651928;-0.22069120407104492;0.9751555919647217;[];
0.0;MPIB3;41.5;49.5;-0.13859523832798004;-0.4632597863674164;0.8752731084823608;[];
0.0;MPIB4;15.5;50.5;0.07284523546695709;-0.2789800465106964;0.9575031995773315;[];
0.03125;MPIB1;45.5;24.5;-0.01005749125033617;-0.27142199873924255;0.9623818397521973;[];
0.03125;MPIB2;13.5;16.5;0.01804598979651928;-0.22069120407104492;0.9751555919647217;[];
0.03125;MPIB3;41.5;49.5;-0.13859523832798004;-0.4632597863674164;0.8752731084823608;[];
0.03125;MPIB4;15.5;50.5;0.07284523546695709;-0.2789800465106964;0.9575031995773315;[];
0.09375;MPIB1;45.5;24.5;-0.01005749125033617;-0.27142199873924255;0.9623818397521973;[];
0.09375;MPIB2;13.5;16.5;0.01804598979651928;-0.22069120407104492;0.9751555919647217;[];
0.09375;MPIB3;41.5;49.5;-0.13859523832798004;-0.4632597863674164;0.8752731084823608;[];
0.09375;MPIB4;15.5;50.5;0.07284523546695709;-0.2789800465106964;0.9575031995773315;[];
0.125;MPIB1;45.5;24.5;-0.01005749125033617;-0.27142199873924255;0.9623818397521973;[];
0.125;MPIB2;13.5;16.5;0.01804598979651928;-0.22069120407104492;0.9751555919647217;[];
0.125;MPIB3;41.5;49.5;-0.1453881710767746;-0.4632597863674164;0.8741704225540161;[];
0.125;MPIB4;15.5;50.5;0.07284523546695709;-0.2789800465106964;0.9575031995773315;[];
0.1875;MPIB1;45.5;24.5;-0.01005749125033617;-0.27142199873924255;0.9623818397521973;[];
0.1875;MPIB2;13.5;16.5;0.01804598979651928;-0.22069120407104492;0.9751555919647217;[];
0.1875;MPIB3;41.5;49.5;-0.1453881710767746;-0.4632597863674164;0.8741704225540161;[];
0.1875;MPIB4;15.5;50.5;0.07284523546695709;-0.2789800465106964;0.9575031995773315;[];
0.25;MPIB1;45.5;24.5;-0.01005749125033617;-0.27142199873924255;0.9623818397521973;[];
0.25;MPIB2;13.5;16.5;0.01804598979651928;-0.22069120407104492;0.9751555919647217;[];
0.25;MPIB3;41.5;49.5;-0.16618715226650238;-0.460964173078537;0.8716739416122437;[];
0.25;MPIB4;15.5;50.5;0.07284523546695709;-0.2789800465106964;0.9575031995773315;[];
0.28125;MPIB1;45.5;24.5;-0.01006507221609354;-0.2688373327255249;0.9631072282791138;[];
0.28125;MPIB2;13.5;16.5;0.01804598979651928;-0.22069120407104492;0.9751555919647217;[];
0.28125;MPIB3;41.5;49.5;-0.17553097009658813;-0.45858025550842285;0.8710998892784119;[];
0.28125;MPIB4;15.5;50.5;0.04289380460977554;-0.26384714245796204;0.9635850191116333;[];
0.34375;MPIB1;45.5;24.5;-0.01006507221609354;-0.2688373327255249;0.9631072282791138;[];
0.34375;MPIB2;13.5;16.5;0.01804598979651928;-0.22069120407104492;0.9751555919647217;[];
0.34375;MPIB3;41.5;49.5;-0.18036194145679474;-0.45627835392951965;0.8713218569755554;[];
0.34375;MPIB4;15.5;50.5;0.03783982992172241;-0.2612568736076355;0.964502215385437;[];
0.375;MPIB1;45.5;24.5;-0.01006507221609354;-0.2688373327255249;0.9631072282791138;[];
0.375;MPIB2;13.5;16.5;0.01804598979651928;-0.22069120407104492;0.9751555919647217;[];
0.375;MPIB3;41.5;49.5;-0.18720631301403046;-0.45627835392951965;0.8698769807815552;[];
0.375;MPIB4;15.5;50.5;0.03783982992172241;-0.2612568736076355;0.964502215385437;[];
0.4375;MPIB1;45.5;24.5;-0.01006507221609354;-0.2688373327255249;0.9631072282791138;[];
