"Time since round start";"Player Name";"X-Position";"Z-Position";"Reward";
3.1;MPIB1;2.0;17.0;false;
3.2;MPIB3;29.0;20.0;false;
3.9;MPIB4;11.0;8.0;true;
4.0;MPIB2;5.0;26.0;true;
5.9;MPIB1;2.0;14.0;true;
7.2;MPIB3;23.0;17.0;false;
7.9;MPIB4;8.0;8.0;false;
7.95;MPIB2;8.0;26.0;false;
9.6;MPIB1;5.0;14.0;false;
11.65;MPIB2;11.0;23.0;false;
11.9;MPIB3;17.0;11.0;false;
12.15;MPIB1;5.0;11.0;false;
14.35;MPIB4;11.0;5.0;false;
15.1;MPIB1;2.0;11.0;true;
15.4;MPIB2;14.0;20.0;true;
17.75;MPIB1;2.0;8.0;true;
18.0;MPIB3;11.0;5.0;false;
18.45;MPIB4;14.0;8.0;true;
19.35;MPIB2;17.0;17.0;false;
20.65;MPIB1;5.0;8.0;true;
22.6;MPIB3;8.0;8.0;false;
23.35;MPIB4;17.0;8.0;true;
23.4;MPIB1;5.0;5.0;true;
25.35;MPIB2;23.0;11.0;false;
26.05;MPIB1;2.0;5.0;true;
27.5;MPIB4;14.0;11.0;true;
28.95;MPIB1;2.0;2.0;true;
29.1;MPIB2;26.0;11.0;false;
31.3;MPIB3;5.0;5.0;true;
31.8;MPIB1;5.0;2.0;true;
32.05;MPIB4;11.0;11.0;true;
33.05;MPIB2;29.0;8.0;false;
34.85;MPIB1;8.0;2.0;false;
35.35;MPIB3;5.0;8.0;true;
36.25;MPIB4;11.0;14.0;false;
37.25;MPIB2;35.0;11.0;false;
37.9;MPIB1;8.0;5.0;false;
40.3;MPIB4;14.0;14.0;false;
40.55;MPIB1;8.0;8.0;false;
40.8;MPIB3;2.0;8.0;true;
43.65;MPIB1;8.0;11.0;false;
44.05;MPIB2;38.0;17.0;false;
44.55;MPIB4;8.0;11.0;false;
46.6;MPIB1;8.0;14.0;false;
46.75;MPIB3;2.0;5.0;true;
49.35;MPIB1;8.0;17.0;false;
49.6;MPIB4;17.0;11.0;false;
50.75;MPIB2;41.0;20.0;false;
52.15;MPIB3;2.0;2.0;true;
54.7;MPIB1;8.0;29.0;false;
55.05;MPIB2;44.0;23.0;false;
56.0;MPIB3;5.0;2.0;true;
56.65;MPIB4;20.0;8.0;false;
58.55;MPIB1;8.0;35.0;false;
60.3;MPIB4;17.0;5.0;false;
61.0;MPIB3;8.0;2.0;false;
61.2;MPIB2;47.0;26.0;false;
62.25;MPIB1;8.0;41.0;false;
63.9;MPIB4;14.0;5.0;false;
65.45;MPIB3;8.0;5.0;false;
66.55;MPIB1;8.0;47.0;false;
70.0;MPIB2;50.0;35.0;false;
70.2;MPIB4;17.0;14.0;false;
70.45;MPIB1;11.0;50.0;true;
71.3;MPIB3;11.0;14.0;false;
73.4;MPIB1;14.0;53.0;true;
74.0;MPIB4;20.0;11.0;false;
75.4;MPIB2;53.0;41.0;true;
76.45;MPIB1;11.0;53.0;false;
77.6;MPIB3;14.0;20.0;true;
79.15;MPIB2;53.0;44.0;true;
80.05;MPIB1;14.0;50.0;true;
81.9;MPIB3;17.0;20.0;false;
82.85;MPIB4;17.0;17.0;false;
83.05;MPIB1;14.0;47.0;true;
83.3;MPIB2;53.0;47.0;false;
85.45;MPIB3;14.0;23.0;true;
86.4;MPIB1;17.0;47.0;true;
86.5;MPIB4;14.0;17.0;false;
87.05;MPIB2;53.0;50.0;false;
88.9;MPIB3;11.0;23.0;false;
89.1;MPIB1;17.0;50.0;true;
90.65;MPIB4;20.0;14.0;false;
90.9;MPIB2;50.0;53.0;false;
91.9;MPIB1;17.0;53.0;false;
92.35;MPIB3;11.0;20.0;true;
93.85;MPIB2;50.0;50.0;false;
94.3;MPIB4;23.0;14.0;false;
95.15;MPIB1;20.0;53.0;false;
96.5;MPIB3;11.0;17.0;false;
97.35;MPIB2;50.0;47.0;false;
100.0;MPIB3;14.0;17.0;false;
100.05;MPIB4;20.0;5.0;false;
101.5;MPIB1;20.0;50.0;false;
104.8;MPIB1;20.0;47.0;true;
106.6;MPIB2;50.0;56.0;true;
107.65;MPIB3;17.0;23.0;false;
108.3;MPIB1;20.0;44.0;false;
109.3;MPIB4;17.0;2.0;false;
111.35;MPIB1;17.0;44.0;true;
113.65;MPIB3;20.0;26.0;false;
114.55;MPIB1;14.0;44.0;true;
114.7;MPIB4;23.0;11.0;false;
115.15;MPIB2;53.0;38.0;true;
117.6;MPIB1;17.0;41.0;false;
