"Time since round start";"Player Name";"X-Position";"Z-Position";"Reward";
3.75;MPIB1;2.0;11.0;false;
3.95;MPIB4;38.0;59.0;false;
3.95;MPIB3;5.0;56.0;false;
6.45;MPIB1;2.0;8.0;false;
7.0;MPIB4;38.0;56.0;false;
7.55;MPIB3;11.0;53.0;false;
8.45;MPIB2;5.0;11.0;false;
9.1;MPIB1;2.0;5.0;false;
11.55;MPIB3;17.0;50.0;false;
11.6;MPIB2;5.0;8.0;false;
11.7;MPIB1;2.0;2.0;false;
14.4;MPIB4;41.0;59.0;false;
15.5;MPIB3;20.0;44.0;false;
15.85;MPIB1;5.0;2.0;false;
17.55;MPIB4;44.0;59.0;false;
19.25;MPIB1;5.0;5.0;false;
20.05;MPIB3;23.0;38.0;true;
20.7;MPIB4;47.0;59.0;false;
22.1;MPIB1;8.0;5.0;false;
23.3;MPIB3;26.0;38.0;false;
23.8;MPIB4;50.0;59.0;false;
24.8;MPIB1;8.0;2.0;false;
26.6;MPIB3;23.0;41.0;true;
27.1;MPIB4;53.0;59.0;false;
27.9;MPIB1;11.0;2.0;false;
29.15;MPIB2;20.0;47.0;false;
29.85;MPIB3;20.0;41.0;true;
31.8;MPIB4;56.0;59.0;true;
32.5;MPIB2;23.0;44.0;false;
33.0;MPIB3;20.0;38.0;true;
34.05;MPIB1;14.0;2.0;false;
35.1;MPIB4;59.0;59.0;false;
36.45;MPIB3;20.0;35.0;false;
36.9;MPIB1;17.0;2.0;false;
37.8;MPIB2;26.0;44.0;false;
38.8;MPIB4;59.0;56.0;false;
39.5;MPIB3;17.0;38.0;false;
39.85;MPIB1;20.0;2.0;false;
40.75;MPIB2;26.0;41.0;false;
42.35;MPIB4;56.0;56.0;false;
42.6;MPIB3;17.0;41.0;false;
42.65;MPIB1;23.0;2.0;true;
45.35;MPIB1;26.0;2.0;true;
45.65;MPIB3;17.0;44.0;false;
45.85;MPIB2;26.0;35.0;false;
45.9;MPIB4;53.0;56.0;false;
48.35;MPIB1;29.0;2.0;false;
50.25;MPIB4;56.0;53.0;false;
51.3;MPIB1;32.0;2.0;false;
53.0;MPIB3;38.0;41.0;false;
53.75;MPIB4;59.0;53.0;false;
54.1;MPIB1;35.0;2.0;false;
56.5;MPIB2;23.0;5.0;true;
56.6;MPIB3;38.0;35.0;false;
56.8;MPIB1;38.0;2.0;false;
57.85;MPIB4;59.0;50.0;false;
59.65;MPIB1;41.0;2.0;true;
59.65;MPIB2;26.0;5.0;false;
60.7;MPIB3;41.0;29.0;false;
61.1;MPIB4;56.0;50.0;false;
62.5;MPIB1;44.0;2.0;true;
62.5;MPIB2;26.0;8.0;false;
64.8;MPIB3;47.0;29.0;false;
65.25;MPIB1;47.0;2.0;false;
65.25;MPIB4;53.0;50.0;false;
65.45;MPIB2;26.0;11.0;false;
68.35;MPIB1;47.0;5.0;false;
68.45;MPIB3;50.0;23.0;true;
68.5;MPIB2;23.0;11.0;false;
68.75;MPIB4;53.0;53.0;false;
71.35;MPIB2;23.0;8.0;false;
71.4;MPIB1;44.0;5.0;true;
72.1;MPIB3;47.0;23.0;true;
72.15;MPIB4;50.0;53.0;false;
74.0;MPIB2;20.0;8.0;false;
74.15;MPIB1;41.0;5.0;false;
75.45;MPIB3;50.0;26.0;true;
75.5;MPIB4;50.0;50.0;false;
76.75;MPIB2;20.0;5.0;false;
77.05;MPIB1;41.0;8.0;false;
78.85;MPIB3;53.0;23.0;true;
80.0;MPIB4;53.0;47.0;false;
80.35;MPIB1;44.0;8.0;false;
82.45;MPIB3;53.0;26.0;false;
82.9;MPIB2;23.0;23.0;false;
83.1;MPIB1;47.0;8.0;true;
83.3;MPIB4;56.0;47.0;false;
85.8;MPIB1;50.0;8.0;false;
86.25;MPIB2;26.0;23.0;false;
86.45;MPIB3;50.0;29.0;false;
87.45;MPIB4;59.0;47.0;false;
88.8;MPIB1;50.0;11.0;false;
89.05;MPIB2;26.0;20.0;true;
89.85;MPIB3;53.0;29.0;false;
91.2;MPIB4;59.0;44.0;true;
91.8;MPIB1;47.0;11.0;false;
92.7;MPIB2;26.0;17.0;true;
93.95;MPIB3;47.0;26.0;false;
94.8;MPIB4;56.0;44.0;false;
96.15;MPIB2;29.0;20.0;true;
96.95;MPIB1;50.0;5.0;false;
98.5;MPIB3;44.0;26.0;false;
98.75;MPIB4;53.0;44.0;false;
99.6;MPIB1;50.0;2.0;false;
99.7;MPIB2;29.0;17.0;true;
102.25;MPIB4;50.0;44.0;false;
102.3;MPIB3;47.0;32.0;false;
102.45;MPIB1;53.0;2.0;false;
103.1;MPIB2;26.0;14.0;false;
105.05;MPIB1;56.0;2.0;false;
105.5;MPIB4;50.0;41.0;true;
106.9;MPIB2;29.0;14.0;false;
107.95;MPIB1;59.0;2.0;false;
109.1;MPIB4;47.0;41.0;false;
110.1;MPIB2;32.0;17.0;false;
110.7;MPIB1;59.0;5.0;false;
112.7;MPIB4;47.0;44.0;false;
113.4;MPIB1;59.0;8.0;true;
113.4;MPIB2;32.0;20.0;true;
115.25;MPIB3;14.0;26.0;false;
116.05;MPIB4;47.0;47.0;false;
116.2;MPIB1;59.0;11.0;true;
117.3;MPIB2;29.0;23.0;true;
118.45;MPIB3;11.0;26.0;false;
119.6;MPIB4;50.0;47.0;false;
119.7;MPIB1;56.0;11.0;false;
