"Time since round start";"Player Name";"X-Position";"Z-Position";"Reward";
3.45;MPIB3;44.0;35.0;false;
3.55;MPIB2;44.0;5.0;false;
3.55;MPIB1;5.0;8.0;false;
3.6;MPIB4;32.0;11.0;true;
6.25;MPIB1;8.0;11.0;false;
6.35;MPIB4;32.0;14.0;true;
6.55;MPIB3;41.0;35.0;false;
6.8;MPIB2;44.0;8.0;false;
9.1;MPIB4;35.0;14.0;true;
9.8;MPIB3;38.0;32.0;false;
10.65;MPIB1;17.0;14.0;true;
10.95;MPIB2;38.0;11.0;true;
12.45;MPIB4;35.0;11.0;true;
13.75;MPIB1;20.0;14.0;false;
13.95;MPIB2;38.0;8.0;true;
15.3;MPIB3;35.0;20.0;true;
15.9;MPIB4;35.0;8.0;true;
17.2;MPIB1;20.0;11.0;false;
17.65;MPIB2;35.0;5.0;false;
18.3;MPIB3;35.0;17.0;true;
19.3;MPIB4;32.0;8.0;false;
19.95;MPIB1;17.0;11.0;false;
20.85;MPIB2;41.0;8.0;false;
21.1;MPIB3;32.0;17.0;true;
22.45;MPIB4;29.0;8.0;false;
24.15;MPIB3;32.0;20.0;true;
24.3;MPIB2;38.0;14.0;false;
24.4;MPIB1;26.0;11.0;true;
25.65;MPIB4;29.0;11.0;true;
27.4;MPIB3;29.0;17.0;false;
27.75;MPIB2;38.0;20.0;true;
27.9;MPIB1;26.0;14.0;true;
28.75;MPIB4;29.0;14.0;true;
30.45;MPIB3;29.0;20.0;false;
30.85;MPIB1;26.0;17.0;false;
31.05;MPIB2;35.0;23.0;true;
32.6;MPIB4;23.0;11.0;false;
34.15;MPIB2;32.0;23.0;true;
35.85;MPIB1;26.0;26.0;false;
36.5;MPIB3;26.0;8.0;false;
36.65;MPIB4;20.0;17.0;true;
37.3;MPIB2;29.0;23.0;false;
38.6;MPIB1;23.0;26.0;false;
39.85;MPIB4;20.0;20.0;true;
40.25;MPIB2;32.0;26.0;true;
42.3;MPIB1;20.0;32.0;false;
42.4;MPIB3;17.0;17.0;true;
43.2;MPIB2;29.0;26.0;false;
43.3;MPIB4;23.0;20.0;false;
45.8;MPIB3;17.0;20.0;true;
46.3;MPIB1;17.0;38.0;true;
46.75;MPIB2;26.0;23.0;false;
46.85;MPIB4;23.0;23.0;false;
49.0;MPIB3;17.0;23.0;false;
49.25;MPIB1;17.0;41.0;true;
50.6;MPIB4;20.0;26.0;false;
52.0;MPIB3;14.0;23.0;false;
52.1;MPIB2;17.0;26.0;false;
52.3;MPIB1;14.0;41.0;true;
54.3;MPIB4;14.0;26.0;false;
55.05;MPIB1;14.0;38.0;true;
55.35;MPIB2;17.0;29.0;false;
57.4;MPIB4;14.0;29.0;false;
58.4;MPIB3;11.0;32.0;false;
58.75;MPIB1;11.0;38.0;false;
59.2;MPIB2;14.0;35.0;false;
60.75;MPIB4;11.0;26.0;false;
61.4;MPIB1;11.0;35.0;false;
64.3;MPIB1;8.0;35.0;false;
64.35;MPIB3;20.0;35.0;false;
64.8;MPIB4;8.0;26.0;false;
65.75;MPIB2;8.0;41.0;false;
67.65;MPIB4;8.0;29.0;false;
68.45;MPIB1;17.0;35.0;false;
69.4;MPIB3;17.0;44.0;true;
70.5;MPIB4;11.0;29.0;false;
71.0;MPIB2;17.0;50.0;false;
71.6;MPIB1;17.0;32.0;false;
72.8;MPIB3;14.0;44.0;true;
74.2;MPIB2;14.0;47.0;false;
74.65;MPIB4;5.0;32.0;true;
74.65;MPIB1;14.0;32.0;false;
76.8;MPIB3;11.0;44.0;false;
77.3;MPIB4;5.0;35.0;false;
77.95;MPIB2;11.0;47.0;false;
78.8;MPIB1;8.0;32.0;false;
80.0;MPIB4;5.0;38.0;false;
81.85;MPIB3;20.0;47.0;false;
82.45;MPIB1;5.0;26.0;false;
83.2;MPIB2;20.0;50.0;false;
84.35;MPIB4;5.0;41.0;false;
86.2;MPIB3;26.0;41.0;true;
86.55;MPIB2;26.0;50.0;false;
86.8;MPIB1;8.0;20.0;true;
87.5;MPIB4;5.0;44.0;false;
89.4;MPIB3;29.0;41.0;true;
89.55;MPIB1;11.0;17.0;true;
90.6;MPIB4;8.0;44.0;false;
91.05;MPIB2;29.0;44.0;true;
92.25;MPIB1;8.0;17.0;true;
92.55;MPIB3;29.0;38.0;false;
94.0;MPIB2;29.0;47.0;true;
94.65;MPIB4;8.0;50.0;false;
95.2;MPIB1;8.0;14.0;false;
95.85;MPIB3;32.0;41.0;false;
96.95;MPIB2;32.0;44.0;true;
97.65;MPIB4;11.0;53.0;false;
98.15;MPIB1;11.0;14.0;true;
99.65;MPIB3;35.0;41.0;true;
99.95;MPIB2;32.0;47.0;true;
100.35;MPIB4;14.0;53.0;false;
100.9;MPIB1;14.0;14.0;true;
102.9;MPIB4;17.0;53.0;false;
102.95;MPIB2;35.0;47.0;true;
103.05;MPIB3;38.0;41.0;true;
104.35;MPIB1;14.0;17.0;true;
105.85;MPIB4;20.0;53.0;false;
106.2;MPIB2;38.0;47.0;false;
106.35;MPIB3;41.0;41.0;false;
107.35;MPIB1;14.0;20.0;true;
108.5;MPIB4;23.0;53.0;false;
109.1;MPIB2;38.0;44.0;false;
110.0;MPIB3;44.0;44.0;false;
110.35;MPIB1;11.0;20.0;true;
111.15;MPIB4;26.0;53.0;false;
113.45;MPIB1;11.0;23.0;false;
114.05;MPIB4;29.0;53.0;false;
114.2;MPIB2;44.0;38.0;false;
114.9;MPIB3;38.0;50.0;false;
116.1;MPIB1;8.0;23.0;true;
117.2;MPIB4;29.0;56.0;false;
118.55;MPIB2;41.0;32.0;false;
118.85;MPIB1;5.0;23.0;true;
