"Time since round start";"Player Name";"X-Position";"Z-Position";"Reward";
3.125;MPIB1;23.0;32.0;false;
3.75;charleywu;32.0;38.0;false;
3.9375;MPIB13;8.0;17.0;true;
4.28125;MPIB5;53.0;23.0;false;
6.03125;MPIB1;23.0;29.0;false;
7.03125;MPIB5;50.0;23.0;false;
7.875;MPIB13;11.0;20.0;false;
9.4375;charleywu;29.0;35.0;false;
10.25;MPIB1;14.0;23.0;false;
10.25;MPIB5;47.0;23.0;false;
11.4375;MPIB13;14.0;20.0;false;
12.875;charleywu;26.0;32.0;false;
12.9375;MPIB1;11.0;23.0;false;
13.09375;MPIB5;44.0;23.0;false;
15.03125;MPIB13;17.0;20.0;false;
15.625;MPIB1;8.0;23.0;false;
15.875;MPIB5;41.0;23.0;false;
16.875;charleywu;20.0;29.0;false;
18.4375;MPIB1;8.0;20.0;false;
18.53125;MPIB13;20.0;20.0;false;
18.625;MPIB5;38.0;23.0;false;
20.59375;charleywu;17.0;26.0;true;
21.34375;MPIB5;35.0;23.0;false;
21.375;MPIB1;11.0;17.0;false;
22.03125;MPIB13;23.0;20.0;false;
23.875;MPIB5;32.0;23.0;false;
24.09375;charleywu;20.0;26.0;false;
24.25;MPIB1;11.0;14.0;true;
25.5;MPIB13;26.0;20.0;false;
26.78125;MPIB5;29.0;23.0;false;
27.28125;MPIB1;14.0;14.0;false;
29.5;charleywu;14.0;17.0;false;
29.6875;MPIB13;29.0;26.0;false;
30.6875;MPIB5;32.0;26.0;false;
30.84375;MPIB1;8.0;14.0;true;
32.875;charleywu;17.0;17.0;false;
33.6875;MPIB13;32.0;32.0;false;
34.25;MPIB1;5.0;14.0;true;
35.28125;MPIB5;26.0;23.0;false;
37.1875;MPIB1;5.0;17.0;true;
37.5;charleywu;8.0;11.0;true;
39.03125;MPIB13;35.0;38.0;false;
41.625;MPIB5;17.0;14.0;false;
41.84375;charleywu;5.0;11.0;true;
42.78125;MPIB1;8.0;8.0;true;
42.78125;MPIB13;38.0;41.0;false;
45.28125;MPIB5;14.0;11.0;false;
46.125;charleywu;5.0;8.0;true;
46.78125;MPIB13;41.0;44.0;false;
47.03125;MPIB1;11.0;2.0;false;
48.25;MPIB5;11.0;11.0;true;
49.9375;MPIB1;14.0;5.0;true;
50.28125;charleywu;2.0;8.0;false;
52.0;MPIB5;11.0;8.0;true;
52.875;MPIB1;17.0;5.0;true;
54.03125;charleywu;5.0;5.0;false;
55.1875;MPIB5;11.0;5.0;true;
56.03125;MPIB1;14.0;2.0;true;
57.625;charleywu;8.0;5.0;false;
57.875;MPIB13;32.0;35.0;false;
59.1875;MPIB1;17.0;2.0;true;
61.09375;charleywu;8.0;2.0;false;
61.34375;MPIB5;14.0;8.0;true;
62.03125;MPIB1;20.0;2.0;true;
64.5;MPIB5;17.0;8.0;false;
64.625;MPIB1;20.0;5.0;true;
66.25;MPIB13;23.0;17.0;false;
66.84375;charleywu;17.0;11.0;false;
67.84375;MPIB1;23.0;2.0;true;
67.84375;MPIB5;20.0;8.0;false;
70.1875;MPIB13;23.0;14.0;false;
70.5;MPIB1;23.0;5.0;true;
71.0;MPIB5;23.0;8.0;false;
73.34375;MPIB1;26.0;2.0;true;
74.09375;MPIB5;26.0;8.0;true;
74.84375;MPIB13;23.0;11.0;false;
75.75;charleywu;29.0;8.0;false;
76.375;MPIB1;29.0;2.0;false;
77.4375;MPIB5;26.0;5.0;true;
79.34375;MPIB13;26.0;11.0;true;
79.625;charleywu;32.0;8.0;false;
79.78125;MPIB1;35.0;5.0;false;
80.375;MPIB5;29.0;5.0;false;
82.59375;MPIB1;38.0;8.0;false;
83.28125;MPIB5;32.0;5.0;false;
83.34375;MPIB13;29.0;11.0;true;
83.59375;charleywu;35.0;8.0;false;
85.53125;MPIB1;41.0;11.0;false;
86.09375;MPIB5;32.0;2.0;false;
87.34375;MPIB13;32.0;11.0;true;
88.1875;MPIB1;44.0;14.0;false;
89.1875;MPIB5;35.0;2.0;false;
89.9375;charleywu;44.0;17.0;false;
90.9375;MPIB13;35.0;11.0;true;
91.4375;MPIB1;50.0;11.0;false;
91.78125;MPIB5;38.0;2.0;false;
93.25;charleywu;47.0;20.0;false;
94.125;MPIB1;53.0;8.0;false;
94.53125;MPIB13;38.0;11.0;false;
95.03125;MPIB5;41.0;2.0;false;
97.6875;MPIB5;44.0;2.0;false;
98.53125;MPIB13;41.0;14.0;false;
98.625;MPIB1;50.0;8.0;false;
100.09375;charleywu;44.0;11.0;false;
101.25;MPIB1;50.0;5.0;false;
103.59375;charleywu;44.0;8.0;false;
103.875;MPIB5;50.0;14.0;false;
104.1875;MPIB1;53.0;2.0;false;
105.875;MPIB13;35.0;20.0;false;
106.75;MPIB1;56.0;2.0;true;
107.5;MPIB5;53.0;17.0;false;
109.6875;charleywu;47.0;26.0;false;
109.75;MPIB1;59.0;2.0;true;
109.875;MPIB13;32.0;20.0;false;
110.78125;MPIB5;53.0;20.0;false;
112.78125;MPIB1;59.0;5.0;true;
113.5;MPIB13;29.0;20.0;false;
114.0;MPIB5;56.0;20.0;false;
115.4375;MPIB1;56.0;5.0;true;
116.0;charleywu;56.0;11.0;false;
117.53125;MPIB5;56.0;23.0;false;
117.78125;MPIB13;26.0;26.0;false;
118.59375;MPIB1;59.0;8.0;true;
119.4375;charleywu;56.0;8.0;false;
