,simulation_number,env_file,agent_type,n_agents,dist_weight,in_view_weight,gp_weight,any_social_weight,success_social_weight,lengthscale,signalvariance,init_seed,policy_seed,step,final,max_reward,min_reward,tot_reward,tot_pairwise_dist,n_foraged_blocks,min_distance_traveled_prop,max_distance_traveled_prop,mean_distance_traveled_prop
0,0,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,835531109,806428419,100,False,3,3,3,0.0,7.0,0.14,0.14,0.14
1,0,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,835531109,806428419,200,False,6,6,6,0.0,15.0,0.175,0.175,0.175
2,0,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,835531109,806428419,300,False,8,8,8,0.0,22.0,0.17333333333333334,0.17333333333333334,0.17333333333333334
3,0,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,835531109,806428419,400,False,13,13,13,0.0,29.0,0.18,0.18,0.18
4,0,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,835531109,806428419,500,False,17,17,17,0.0,37.0,0.176,0.176,0.176
5,0,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,835531109,806428419,599,False,17,17,17,0.0,45.0,0.17362270450751252,0.17362270450751252,0.17362270450751252
6,1,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,835531109,3705871459,100,False,4,4,4,0.0,7.0,0.19,0.19,0.19
7,1,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,835531109,3705871459,200,False,5,5,5,0.0,15.0,0.16,0.16,0.16
8,1,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,835531109,3705871459,300,False,6,6,6,0.0,22.0,0.19,0.19,0.19
9,1,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,835531109,3705871459,400,False,7,7,7,0.0,30.0,0.1775,0.1775,0.1775
10,1,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,835531109,3705871459,500,False,11,11,11,0.0,37.0,0.178,0.178,0.178
11,1,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,835531109,3705871459,599,False,12,12,12,0.0,44.0,0.18030050083472454,0.18030050083472454,0.18030050083472454
12,2,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,835531109,2339914512,100,False,0,0,0,0.0,7.0,0.14,0.14,0.14
13,2,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,835531109,2339914512,200,False,3,3,3,0.0,15.0,0.18,0.18,0.18
14,2,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,835531109,2339914512,300,False,6,6,6,0.0,21.0,0.20666666666666667,0.20666666666666667,0.20666666666666667
15,2,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,835531109,2339914512,400,False,9,9,9,0.0,29.0,0.205,0.205,0.205
16,2,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,835531109,2339914512,500,False,13,13,13,0.0,36.0,0.198,0.198,0.198
17,2,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,835531109,2339914512,599,False,14,14,14,0.0,43.0,0.1986644407345576,0.1986644407345576,0.1986644407345576
18,3,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,835531109,3213891623,100,False,2,2,2,0.0,7.0,0.16,0.16,0.16
19,3,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,835531109,3213891623,200,False,4,4,4,0.0,15.0,0.165,0.165,0.165
20,3,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,835531109,3213891623,300,False,6,6,6,0.0,22.0,0.17,0.17,0.17
21,3,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,835531109,3213891623,400,False,9,9,9,0.0,29.0,0.1975,0.1975,0.1975
22,3,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,835531109,3213891623,500,False,9,9,9,0.0,36.0,0.19,0.19,0.19
23,3,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,835531109,3213891623,599,False,14,14,14,0.0,44.0,0.18530884808013356,0.18530884808013356,0.18530884808013356
24,4,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,835531109,2284404523,100,False,1,1,1,0.0,7.0,0.17,0.17,0.17
25,4,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,835531109,2284404523,200,False,4,4,4,0.0,14.0,0.21,0.21,0.21
26,4,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,835531109,2284404523,300,False,5,5,5,0.0,21.0,0.22,0.22,0.22
27,4,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,835531109,2284404523,400,False,9,9,9,0.0,29.0,0.205,0.205,0.205
28,4,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,835531109,2284404523,500,False,11,11,11,0.0,36.0,0.21,0.21,0.21
29,4,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,835531109,2284404523,599,False,13,13,13,0.0,43.0,0.21202003338898165,0.21202003338898165,0.21202003338898165
30,5,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,835531109,2667419846,100,False,0,0,0,0.0,8.0,0.13,0.13,0.13
31,5,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,835531109,2667419846,200,False,0,0,0,0.0,15.0,0.18,0.18,0.18
32,5,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,835531109,2667419846,300,False,2,2,2,0.0,22.0,0.18333333333333332,0.18333333333333332,0.18333333333333332
33,5,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,835531109,2667419846,400,False,3,3,3,0.0,29.0,0.1875,0.1875,0.1875
34,5,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,835531109,2667419846,500,False,6,6,6,0.0,36.0,0.19,0.19,0.19
35,5,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,835531109,2667419846,599,False,6,6,6,0.0,44.0,0.18363939899833054,0.18363939899833054,0.18363939899833054
36,6,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,835531109,3191643291,100,False,4,4,4,0.0,7.0,0.18,0.18,0.18
37,6,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,835531109,3191643291,200,False,5,5,5,0.0,15.0,0.16,0.16,0.16
38,6,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,835531109,3191643291,300,False,7,7,7,0.0,23.0,0.16,0.16,0.16
39,6,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,835531109,3191643291,400,False,10,10,10,0.0,30.0,0.155,0.155,0.155
40,6,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,835531109,3191643291,500,False,13,13,13,0.0,38.0,0.166,0.166,0.166
41,6,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,835531109,3191643291,599,False,18,18,18,0.0,45.0,0.1652754590984975,0.1652754590984975,0.1652754590984975
42,7,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,835531109,1944780934,100,False,2,2,2,0.0,6.0,0.27,0.27,0.27
43,7,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,835531109,1944780934,200,False,4,4,4,0.0,14.0,0.215,0.215,0.215
44,7,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,835531109,1944780934,300,False,4,4,4,0.0,21.0,0.20666666666666667,0.20666666666666667,0.20666666666666667
45,7,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,835531109,1944780934,400,False,5,5,5,0.0,29.0,0.205,0.205,0.205
46,7,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,835531109,1944780934,500,False,9,9,9,0.0,36.0,0.198,0.198,0.198
47,7,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,835531109,1944780934,599,False,10,10,10,0.0,43.0,0.2003338898163606,0.2003338898163606,0.2003338898163606
48,8,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,835531109,1030658128,100,False,0,0,0,0.0,6.0,0.25,0.25,0.25
49,8,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,835531109,1030658128,200,False,1,1,1,0.0,14.0,0.225,0.225,0.225
50,8,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,835531109,1030658128,300,False,3,3,3,0.0,21.0,0.21333333333333335,0.21333333333333335,0.21333333333333335
51,8,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,835531109,1030658128,400,False,5,5,5,0.0,29.0,0.2025,0.2025,0.2025
52,8,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,835531109,1030658128,500,False,7,7,7,0.0,36.0,0.198,0.198,0.198
53,8,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,835531109,1030658128,599,False,9,9,9,0.0,43.0,0.21202003338898165,0.21202003338898165,0.21202003338898165
54,9,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,835531109,2503673029,100,False,2,2,2,0.0,7.0,0.22,0.22,0.22
55,9,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,835531109,2503673029,200,False,3,3,3,0.0,13.0,0.26,0.26,0.26
56,9,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,835531109,2503673029,300,False,6,6,6,0.0,20.0,0.24,0.24,0.24
57,9,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,835531109,2503673029,400,False,9,9,9,0.0,28.0,0.23,0.23,0.23
58,9,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,835531109,2503673029,500,False,11,11,11,0.0,35.0,0.22,0.22,0.22
59,9,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,835531109,2503673029,599,False,15,15,15,0.0,43.0,0.20701168614357263,0.20701168614357263,0.20701168614357263
60,10,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,3420061943,806428419,100,False,2,2,2,0.0,7.0,0.18,0.18,0.18
61,10,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,3420061943,806428419,200,False,2,2,2,0.0,15.0,0.18,0.18,0.18
62,10,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,3420061943,806428419,300,False,2,2,2,0.0,22.0,0.16333333333333333,0.16333333333333333,0.16333333333333333
63,10,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,3420061943,806428419,400,False,3,3,3,0.0,30.0,0.1775,0.1775,0.1775
64,10,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,3420061943,806428419,500,False,7,7,7,0.0,37.0,0.174,0.174,0.174
65,10,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,3420061943,806428419,599,False,8,8,8,0.0,45.0,0.17529215358931552,0.17529215358931552,0.17529215358931552
66,11,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,3420061943,3705871459,100,False,0,0,0,0.0,7.0,0.19,0.19,0.19
67,11,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,3420061943,3705871459,200,False,1,1,1,0.0,15.0,0.175,0.175,0.175
68,11,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,3420061943,3705871459,300,False,5,5,5,0.0,21.0,0.22333333333333333,0.22333333333333333,0.22333333333333333
69,11,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,3420061943,3705871459,400,False,5,5,5,0.0,29.0,0.205,0.205,0.205
70,11,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,3420061943,3705871459,500,False,6,6,6,0.0,36.0,0.198,0.198,0.198
71,11,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,3420061943,3705871459,599,False,7,7,7,0.0,44.0,0.19365609348914858,0.19365609348914858,0.19365609348914858
72,12,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,3420061943,2339914512,100,False,0,0,0,0.0,7.0,0.18,0.18,0.18
73,12,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,3420061943,2339914512,200,False,2,2,2,0.0,15.0,0.18,0.18,0.18
74,12,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,3420061943,2339914512,300,False,3,3,3,0.0,21.0,0.20333333333333334,0.20333333333333334,0.20333333333333334
75,12,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,3420061943,2339914512,400,False,4,4,4,0.0,29.0,0.205,0.205,0.205
76,12,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,3420061943,2339914512,500,False,5,5,5,0.0,36.0,0.21,0.21,0.21
77,12,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,3420061943,2339914512,599,False,5,5,5,0.0,43.0,0.21035058430717862,0.21035058430717862,0.21035058430717862
78,13,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,3420061943,3213891623,100,False,0,0,0,0.0,7.0,0.2,0.2,0.2
79,13,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,3420061943,3213891623,200,False,1,1,1,0.0,14.0,0.23,0.23,0.23
80,13,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,3420061943,3213891623,300,False,5,5,5,0.0,21.0,0.20666666666666667,0.20666666666666667,0.20666666666666667
81,13,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,3420061943,3213891623,400,False,9,9,9,0.0,29.0,0.205,0.205,0.205
82,13,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,3420061943,3213891623,500,False,10,10,10,0.0,36.0,0.192,0.192,0.192
83,13,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,3420061943,3213891623,599,False,16,16,16,0.0,44.0,0.19365609348914858,0.19365609348914858,0.19365609348914858
84,14,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,3420061943,2284404523,100,False,2,2,2,0.0,7.0,0.15,0.15,0.15
85,14,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,3420061943,2284404523,200,False,4,4,4,0.0,15.0,0.18,0.18,0.18
86,14,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,3420061943,2284404523,300,False,9,9,9,0.0,22.0,0.18,0.18,0.18
87,14,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,3420061943,2284404523,400,False,13,13,13,0.0,30.0,0.1775,0.1775,0.1775
88,14,../environments/smooth.7.csv,dist_only,1,-1,1,1,0,0,1,1,3420061943,2284404523,500,False,14,14,14,0.0,37.0,0.176,0.176,0.176
